countryname,country,goalname,goal,indicatorname,indicator,social_groupname,social_group,units,scale,frequency,date,value
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,1990-01-01,123
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,1992-01-01,107.2
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,1996-01-01,108.9
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,2000-01-01,110
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,2001-01-01,95
Kenya,25,Goal 4: Reduce child mortality,KN.1000030,Infant mortality rate per 1000 live births,20267305,Women,20136705,,true,A,2007-01-01,70
Somalia,44,Goal 5: Improve maternal health,KN.1000040,Contraceptive prevalence rate 15-49,20267705,Women,20136705,,true,A,2000-01-01,11.7
Somalia,44,Goal 5: Improve maternal health,KN.1000040,Contraceptive prevalence rate 15-49,20267705,Women,20136705,,true,A,2007-01-01,14.6
Somalia,44,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Women,20136705,,true,A,2005-01-01,26
Somalia,44,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Women,20136705,,true,A,2007-01-01,36
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1990-01-01,1.14
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1991-01-01,1.14
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1992-01-01,1.14
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1993-01-01,1.11
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,1998-01-01,0.94
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2001-01-01,0.89
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2002-01-01,0.87
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2003-01-01,1.47
"Congo, Dem. Rep.",12,Goal 7: Ensure environmental sustainability,KN.1000060,Carbon dioxide emissions per capita Metric tons,20269405,Total,20137105,,true,A,2004-01-01,1.46
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,1990-01-01,15.78
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2000-01-01,25.79
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2001-01-01,15.78
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2002-01-01,15.78
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2003-01-01,15.78
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2004-01-01,15.78
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2005-01-01,17.28
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2006-01-01,14.43
Kenya,25,Goal 8: Develop a global partnership for development,KN.1000070,Net ODA to LDCs as a percentage of OECD/DAC donors' GNI (%),20270305,Total,20137105,,true,A,2007-01-01,10.2
Malawi,30,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below  poverty line (%),20265105,Total,20137105,,true,A,1990-01-01,54
Malawi,30,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below  poverty line (%),20265105,Total,20137105,,true,A,2001-01-01,53.9
Malawi,30,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below  poverty line (%),20265105,Total,20137105,,true,A,2006-01-01,50
Malawi,30,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below  poverty line (%),20265105,Total,20137105,,true,A,2007-01-01,45
Malawi,30,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below  poverty line (%),20265105,Total,20137105,,true,A,2008-01-01,40
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,1990-01-01,40.6
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2000-01-01,28
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2005-01-01,26.1
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2006-01-01,26
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2007-01-01,25.8
Chad,10,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Prevalence of underweight children under-five years of age  (%),20266005,Rural,20137005,,true,A,2008-01-01,25.3
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,1990-01-01,4.3
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,2000-01-01,4.5
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,2001-01-01,4
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,2005-01-01,2.9
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,2006-01-01,2.3
Central African Republic,9,Goal 7: Ensure environmental sustainability,KN.1000060,Consumption of ozone depleting substances ODP metric tons,20269605,Total,20137105,,true,A,2007-01-01,1.6
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,1991-01-01,203.4
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,1995-01-01,147.3
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,2000-01-01,156.5
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,2001-01-01,152
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,2002-01-01,156
Namibia,36,Goal 4: Reduce child mortality,KN.1000030,"Under-five mortality rate,Deaths per 1000 live births",20267205,Total,20137105,,true,A,2006-01-01,137
Tunisia,50,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Urban,20136905,,true,A,1990-01-01,3.5
Tunisia,50,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Proportion of pop below $1 PPP per day (%),20265005,Urban,20136905,,true,A,1995-01-01,3.6
Gambia,21,Goal 1: Eradicate extreme poverty and hunger,KN.1000000,Poverty gap ratio in (%),20265205,Rural,20137005,,true,A,2003-01-01,30.5
Niger,37,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 with fever who are treated with appropriate antimalarial drugs (%),20268605,Total,20137105,,true,A,2000-01-01,48.1
Niger,37,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 with fever who are treated with appropriate antimalarial drugs (%),20268605,Total,20137105,,true,A,2006-01-01,33
Botswana,4,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Total,20137105,,true,A,2006-01-01,94.1
Botswana,4,Goal 2: Achieve universal primary education,KN.1000010,"Literacy rate of 15-24 year-olds,  (%)",20266605,Women,20136705,,true,A,2006-01-01,95.3
Cape Verde,8,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Condom use at last high-risk sex 15-24 yr (%),20268105,Women,20136705,,true,A,2005-01-01,55.8
Uganda,51,Goal 5: Improve maternal health,KN.1000040,"Adolescent birth rate Per 1,000 women 15-19 year",20267805,Total,20137105,,true,A,1995-01-01,34
Uganda,51,Goal 5: Improve maternal health,KN.1000040,"Adolescent birth rate Per 1,000 women 15-19 year",20267805,Total,20137105,,true,A,2000-01-01,25.6
Uganda,51,Goal 5: Improve maternal health,KN.1000040,"Adolescent birth rate Per 1,000 women 15-19 year",20267805,Total,20137105,,true,A,2002-01-01,17.5
Uganda,51,Goal 5: Improve maternal health,KN.1000040,"Adolescent birth rate Per 1,000 women 15-19 year",20267805,Total,20137105,,true,A,2006-01-01,159
Liberia,27,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 sleeping under insecticide treated bednets  (%),20268505,Total,20137105,,true,A,2007-01-01,3.5
Liberia,27,"Goal 6: Combat HIV/AIDS, malaria and other diseases",KN.1000050,Proportion of children under 5 sleeping under insecticide treated bednets  (%),20268505,Total,20137105,,true,A,2008-01-01,6
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,1991-01-01,0.4
Cameroon,7,Goal 7: Ensure environmental sustainability,KN.1000060,Proportion of marine areas protected to territorial waters (%),20269805,Total,20137105,,true,A,2001-01-01,0.4
